nombre,categoria,precio,cantidad,descripcion,oferta,destacado
LAPICES DE COLORES 20G,DULCES Y BOLLERIA,1.0,13.0,,,no
LAYS BOCABIT GRANDE,SNACKS,1.5,8.0,,,no
LOLIPOP FRESA,CARAMELOS Y GOLOSINAS,0.35,92.0,,,no
LOLIPOP MILKY,CARAMELOS Y GOLOSINAS,0.35,92.0,,,no
LOLIPOP PINTA,CARAMELOS Y GOLOSINAS,0.35,93.0,,,no
M&MS CHOCOLATE 45GR,CARAMELOS Y GOLOSINAS,1.2,17.0,,,no
M&MS PEANUT 45GR,CARAMELOS Y GOLOSINAS,1.2,15.0,,,no
MAXI BURGER BR 4 UDS,DULCES Y BOLLERIA,2.29,0.0,,,no
MEGA JELLY MIX,CARAMELOS Y GOLOSINAS,1.0,12.0,,,no
MEGA SOUR MIX,CARAMELOS Y GOLOSINAS,1.0,14.0,,,no
MEGA SWEET MIX,CARAMELOS Y GOLOSINAS,1.0,13.0,,,no
MELODY POPS,CARAMELOS Y GOLOSINAS,0.6,13.0,,,no
MENTOS FANTA NARANJA,CARAMELOS Y GOLOSINAS,1.0,19.0,,,no
MENTOS FRUTAS,CARAMELOS Y GOLOSINAS,1.0,16.0,,,no
MENTOS MENTA,CARAMELOS Y GOLOSINAS,1.0,20.0,,,no
MENTOS SOUR FRESA BOTE,CARAMELOS Y GOLOSINAS,1.6,7.0,,,no
MENTOS SOUR MANZANA VERDE BOTE,CARAMELOS Y GOLOSINAS,1.6,7.0,,,no
MIKADO 39GR,SNACKS,1.2,14.0,,,no
milanesa de jamon de cerdo,CARAMELOS Y GOLOSINAS,1.45,11.0,,,no
milanesa de pollo,CARAMELOS Y GOLOSINAS,1.5,9.0,,,no
MILKA CAKE AND CHOC,DULCES Y BOLLERIA,2.1,15.0,,,no
MILKA CHOCO STICKS 112 GR,DULCES Y BOLLERIA,1.8,13.0,,,no
MILKA COOKIES SENS INN CHOC,DULCES Y BOLLERIA,2.6,12.0,,,no
MILKA MINI COOKIES 110GR,DULCES Y BOLLERIA,2.1,5.0,,,no
MILKA MINI WAFERS 110GR,DULCES Y BOLLERIA,2.5,3.0,,,no
MILKA SOFT CAKE BROWNIE 150GR,DULCES Y BOLLERIA,2.7,11.0,,,no
MILKA WAFER CHOCO LECHE 180GR,DULCES Y BOLLERIA,2.5,14.0,,,no
MILKA WAFER WHITE 180GR,DULCES Y BOLLERIA,2.5,16.0,,,no
MINI DINOSAURUS SIN GLUTEN,DULCES Y BOLLERIA,2.7,11.0,,,no
"MISTERCORN EL ORIGINAL 0,50",SNACKS,0.5,18.0,,,no
MISTERCORN MIX5,SNACKS,0.5,21.0,,,no
MONSTER ZERO,BEBIDAS,2.0,13.0,,,no
MONSTERS MANGO LOCO,BEBIDAS,2.0,13.0,,,no
MONSTERS ULTRA WHIT,BEBIDAS,2.0,13.0,,,no
NESTEA LIMON LATA 33 CL,BEBIDAS,1.0,20.0,,,no
NESTEA MARACUYA LATA 33CL,BEBIDAS,1.0,13.0,,,no
NUTELLA 25GR,DULCES Y BOLLERIA,1.0,54.0,,,no
NUTELLA B-READY,DULCES Y BOLLERIA,1.75,23.0,,,no
NUTELLA BISCUITS T3,DULCES Y BOLLERIA,1.2,25.0,,,no
OJOS RELLENOS,CARAMELOS Y GOLOSINAS,0.6,49.0,,,no
ONDULADA SR,SNACKS,1.4,7.0,,,no
OREO BAÑADA CHOCO/BLANCO 246GR,DULCES Y BOLLERIA,2.7,7.0,,,no
OREO DOBLE CREMA 185GRS,DULCES Y BOLLERIA,1.9,8.0,,,no
OREO ORIGINAL 154GR,DULCES Y BOLLERIA,1.3,9.0,,,no
OREO REMIX VAINILLA-FRESA 157GR,DULCES Y BOLLERIA,1.3,11.0,,,no
PALMERA BLACK Qè!,DULCES Y BOLLERIA,1.4,1.0,,,no
PALMERA GIGANTE CHOCO,DULCES Y BOLLERIA,0.6,19.0,,,no
PAN SANDWICH 430GR,DULCES Y BOLLERIA,1.59,1.0,,,no
PANTERA ROSA 3 UDS,DULCES Y BOLLERIA,2.39,1.0,,,no
PAPA DELTA MINIM´S 1€,SNACKS,1.0,11.0,,,no
